"","Color"
"Intial vaccination (2 dose- Wuhan)_Baseline (V1)","#9E0142"
"Intial vaccination (2 dose- Wuhan)_Post-Boost (V3)","#D53E4F"
"Booster vaccine (3rd dose - Wuhan)_Baseline","#F46D43"
"Booster vaccine (3rd dose - Wuhan)_Peak","#FDAE61"
"Bivalent booster_Baseline","#FEE08B"
"Bivalent booster_Peak","#E6F598"
"XBB.1.5 monovalent booster_Baseline","#ABDDA4"
"XBB.1.5 monovalent booster_Peak","#66C2A5"
"No XBB.1.5 monovalent booster_Baseline","#3288BD"
"No XBB.1.5 monovalent booster_Peak","#5E4FA2"
