"Serum group","Variant","group1","group2","n1","n2","statistic","p","Significance level"
"BA.1 conv.","Alpha","Human","NHP",15,11,33,0.00915,"**"
"BA.1 conv.","Beta","Human","NHP",18,11,54,0.0442,"*"
"Wuhan conv.","Beta","Human","NHP",23,5,6,0.00059,"***"
"Wuhan conv.","Delta","Human","NHP",22,5,100,0.0028,"**"
"Wuhan vax. (two doses)","BA.1","Human","NHP",24,6,30,0.0286,"*"
"Wuhan vax. (two doses)","Delta","Human","NHP",37,6,170,0.038,"*"
"Wuhan vax. (two doses)","Wuhan","Human","NHP",41,6,58,0.0374,"*"
"alpha conv.","BA.1","Human","NHP",22,6,28,0.0331,"*"
"beta conv.","BA.1","Human","NHP",21,12,56,0.00785,"**"
"beta conv.","Beta","Human","NHP",21,12,232,1.46e-05,"****"
"beta conv.","Delta","Human","NHP",21,12,72,0.0441,"*"
"delta conv.","Alpha","Human","NHP",20,16,34,1.65e-05,"****"
"delta conv.","BA.5","Human","NHP",11,16,131,0.0343,"*"
"delta conv.","Beta","Human","NHP",26,16,64,8.96e-05,"****"
"delta conv.","Delta","Human","NHP",26,16,365,1.41e-05,"****"
